Studio;17.98;1;1;440;1;0;0
Appartement;62.0;2;2;400;1;0;0
Appartement;58.26;3;2;709;0;0;1
Appartement;41.5;2;1;580;0;0;0
Appartement;48.0;2;1;592;0;0;0
Appartement;70.9;3;2;785;0;0;1
Studio;19.2;1;1;460;1;0;0
Appartement;103.35;5;4;797;1;0;1
Appartement;70.14;3;2;805;1;0;0
Appartement;68.0;3;2;766;0;0;0
Appartement;65.79;4;3;730;1;0;0
Appartement;70.0;3;2;784;1;0;0
Appartement;65.0;3;2;808;1;0;0
Appartement;64.0;3;2;742;0;0;0
Studio;14.0;1;3;390;1;0;0
Appartement;44.17;2;1;680;1;0;0
Studio;38.0;1;1;455;0;0;0
Appartement;42.12;2;1;520;1;0;0
Appartement;48.0;2;1;601;0;0;0
Appartement;50.58;2;1;645;0;0;0
Appartement;72.0;4;3;730;0;0;0
Appartement;42.0;2;1;650;1;0;0
Appartement;80.0;4;1;1950;1;0;0
Studio;18.0;1;1;390;1;1;0
Appartement;39.0;2;1;410;1;0;0
Appartement;38.0;1;1;440;1;0;0
Appartement;65.0;3;2;750;0;0;0
Appartement;98.0;5;3;1150;0;0;1
Appartement;63.0;3;2;800;0;0;0
Studio;30.0;1;1;473;0;0;0
Appartement;68.0;3;2;760;1;0;1
Studio;14.0;3;1;350;0;0;0
Appartement;45.0;2;1;690;0;0;0
Appartement;65.0;3;2;750;1;0;0
Appartement;91.0;4;3;1060;0;0;0
Appartement;90.0;5;3;1280;1;1;1
Appartement;63.0;3;1;600;1;0;0
Appartement;51.0;2;1;598;0;0;0
Appartement;72.0;4;3;700;1;0;0
Appartement;63.0;3;2;778;0;0;1
Appartement;150.0;6;4;2080;0;0;1
Appartement;21.0;2;1;615;1;0;0
Appartement;166.0;6;4;2180;1;0;1
Appartement;64.0;3;2;742;0;0;0
Appartement;65.0;3;2;808;0;0;0
Appartement;64.0;3;2;790;1;0;0
Appartement;92.0;2;1;580;1;0;0
Appartement;31.0;2;1;420;0;0;0
Appartement;39.0;2;1;700;0;0;0
Appartement;124.0;5;4;1566;0;0;0
Appartement;80.0;4;3;895;0;0;0
Appartement;78.0;4;3;1150;1;0;1
Appartement;67.0;3;2;715;0;0;0
Appartement;18.0;1;1;350;0;0;0
Appartement;64.0;3;2;752;1;0;0
Appartement;35.0;2;1;573;0;0;0
Appartement;27.0;3;1;590;1;0;1
Appartement;106.0;5;3;1410;0;0;0
Appartement;77.0;4;3;1215;0;0;0
Appartement;48.0;2;1;592;0;0;0
Appartement;20.0;4;3;880;0;0;0
Appartement;79.0;4;3;1050;0;0;0
Appartement;75.0;4;2;975;0;0;0
Studio;25.0;2;1;500;1;0;0
Appartement;81.0;3;2;805;0;0;0
Appartement;95.0;5;3;1800;1;0;0
Appartement;100.0;4;3;1500;1;0;0
Appartement;114.0;5;4;1460;1;0;1
Appartement;20.0;2;1;450;1;0;0
Studio;19.0;1;1;360;0;0;0
Appartement;27.0;2;1;440;1;0;1
Appartement;42.0;2;1;620;0;0;0
Appartement;58.0;3;2;709;0;0;0
Appartement;44.0;2;1;680;0;0;0
Appartement;28.0;2;1;505;0;0;0
Appartement;102.0;5;3;1800;0;0;1
Appartement;47.0;2;1;615;0;0;0
Appartement;55.0;2;1;887;1;0;0
Appartement;79.0;3;2;794;0;0;0
Appartement;79.0;3;2;765;1;0;0
Appartement;123.0;4;3;1102;0;0;1
Appartement;107.0;4;3;1250;0;0;0
Appartement;65.0;3;2;808;0;0;1
Appartement;63.0;3;2;710;0;0;0
Appartement;86.0;5;4;1680;1;0;0
Appartement;88.0;5;3;1150;0;0;0
Appartement;60.0;3;2;920;1;0;0
Appartement;100.0;4;3;1250;1;0;0
Appartement;49.0;2;1;615;1;0;0
Appartement;65.0;4;3;730;0;0;0
Appartement;110.0;4;3;938;0;0;0
Appartement;117.0;5;4;1079;0;0;1
Appartement;60.0;4;2;1360;1;0;0
Appartement;54.0;2;1;715;0;0;0
Appartement;104.0;5;3;1500;0;0;0
Appartement;20.0;1;1;425;0;0;0
Appartement;18.0;1;1;330;1;0;0
Appartement;166.0;6;4;2180;0;0;1
Appartement;76.0;3;2;1190;1;0;0
Appartement;63.0;3;2;639;1;0;0
Appartement;61.0;3;2;545;0;0;0
Appartement;47.0;2;1;535;0;0;0
Studio;33.0;3;1;327;0;1;1
Maison;86.0;5;3;650;1;1;1
Appartement;48.0;2;1;535;0;0;0
Appartement;50.0;2;1;490;0;0;0
Appartement;64.0;3;1;541;1;0;0
Appartement;60.0;3;2;690;0;0;1
Appartement;40.0;2;1;525;0;0;0
Appartement;38.0;2;1;361;1;0;0
Appartement;57.0;3;2;510;0;0;0
Maison;89.0;5;4;785;0;1;0
Appartement;51.0;2;1;450;0;0;0
Appartement;67.0;3;2;666;0;0;0
Appartement;66.0;3;2;505;1;0;0
Maison;81.0;4;3;780;1;0;0
Maison;90.0;4;3;760;1;1;0
Appartement;54.0;3;1;625;1;0;0
Appartement;86.0;4;3;796;1;0;1
Appartement;105.0;4;3;781;1;0;0
Appartement;82.0;4;2;747;0;0;0
Appartement;82.0;3;2;482;1;0;0
Maison;94.0;6;5;873;1;1;1
Appartement;60.0;3;2;440;1;0;0
Appartement;106.0;3;2;780;1;0;0
Appartement;64.0;2;1;520;0;0;0
Appartement;70.0;3;2;565;0;0;0
Appartement;67.0;4;3;615;0;0;1
Appartement;65.0;3;2;640;0;0;1
Appartement;63.0;3;2;628;0;0;0
Appartement;48.0;2;1;440;1;0;0
Appartement;45.0;2;1;390;1;0;0
